Code,Site,Trap,Position,Distance,Quality,Sky
BN2L1_August_22,BN2,1,C,0,0,
BN2L10_August_22,BN2,10,C,0,0,
BN2L10A_March_22,BN2,10,C,0,0,
BN2L11_August_22,BN2,11,C,0,0,
BN2L11A_March_22,BN2,11,C,0,0,
BN2L12_August_22,BN2,12,C,0,0,
BN2L12A_March_22,BN2,12,C,0,0,
BN2L13_August_22,BN2,13,C,0,1,
BN2L13A_March_22,BN2,13,C,0,0,
BN2L1A_March_22,BN2,1,C,0,0,
BN2L2_August_22,BN2,2,C,0,0,
BN2L2A_March_22,BN2,2,C,0,0,
BN2L3_August_22,BN2,3,C,0,0,
BN2L3A_March_22,BN2,3,C,0,0,
BN2L4_August_22,BN2,4,C,0,0,
BN2L4A_March_22,BN2,4,C,0,0,
BN2L5_August_22,BN2,5,C,0,0,
BN2L5A_March_22,BN2,5,C,0,0,
BN2L6_August_22,BN2,6,C,0,0,
BN2L6A_March_22,BN2,6,C,0,0,
BN2L7_August_22,BN2,7,C,0,0,
BN2L7A_March_22,BN2,7,C,0,1,
BN2L8_August_22,BN2,8,C,0,0,
BN2L8A_March_22,BN2,8,C,0,0,
BN2L9_August_22,BN2,9,C,0,0,
BN2L9A_March_22,BN2,9,C,0,0,
CSL1_August_22,CS,1,C,0,0,
CSL10_August_22,CS,10,C,0,0,
CSL10A_March_22,CS,10,C,0,0,
CSL11_August_22,CS,11,C,0,0,
CSL11A_March_22,CS,11,C,0,0,
CSL1A_March_22,CS,1,C,0,0,
CSL2_August_22,CS,2,C,0,0,
CSL2A_March_22,CS,2,C,0,0,
CSL3_August_22,CS,3,C,0,0,
CSL3A_March_22,CS,3,C,0,0,
CSL4_August_22,CS,4,C,0,0,
CSL4A_March_22,CS,4,C,0,0,
CSL5_August_22,CS,5,C,0,0,
CSL6_August_22,CS,6,C,0,0,
CSL6A_March_22,CS,6,C,0,0,
CSL7_August_22,CS,8,C,0,0,
CSL7A_March_22,CS,7,C,0,0,
CSL8_August_22,CS,9,C,0,0,
CSL9_August_22,CS,1,C,0,0,
CSL9A_March_22,CS,9,C,0,0,
CWL1_August_22,CW,2,C,0,0,
CWL2_August_22,CW,3,C,0,1,
CWL3_August_22,CW,1,C,0,0,
DCL1_August_22,DC,2,C,0,0,
DCL1A_March_22,DC,1,C,0,0,
DCL2_August_22,DC,2,C,0,0,
DCL2A_March_22,DC,2,C,0,1,
DCL3_August_22,DC,3,C,0,0,
DCL3A_March_22,DC,3,C,0,0,
DCL4_August_22,DC,4,C,0,0,
DCL5_August_22,DC,5,C,0,0,
DCL5A_March_22,DC,5,C,0,0,
DCL6_August_22,DC,6,C,0,0,
DCL7_August_22,DC,7,C,0,0,
DCL8_August_22,DC,8,C,0,1,
DCL9_August_22,DC,9,C,0,1,
DRL1_August_22,DR,1,C,0,,
DRL10_August_22,DR,10,C,0,,
DRL10A 11-12-21,DR,10,C,0,1,
DRL10A_March_22,DR,10,C,0,,
DRL11_August_22,DR,11,C,0,,
DRL11A 11-12-21,DR,11,C,0,,
DRL11A_March_22,DR,11,C,0,,
DRL12_August_22,DR,12,C,0,,
DRL12A 11-12-21,DR,12,C,0,,
DRL12A_March_22,DR,12,C,0,,
DRL13_August_22,DR,13,C,0,,
DRL13A 11-12-21,DR,13,C,0,,
DRL13A_March_22,DR,13,C,0,,
DRL14_August_22,DR,14,C,0,,
DRL14A 11-12-21,DR,13,C,0,,
DRL14A_March_22,DR,14,C,0,,
DRL15_August_22,DR,15,C,0,,
DRL15A 11-12-21,DR,14,C,0,,
DRL15A_March_22,DR,15,C,0,,
DRL1A 11-12-21,DR,15,C,0,,
DRL1A_March_22,DR,1,C,0,,
DRL2_August_22,DR,2,C,0,,
DRL2A 11-12-21,DR,1,C,0,,
DRL2A_March_22,DR,2,C,0,,
DRL3 (2)_August_22,DR,2,C,0,,
DRL3_August_22,DR,3,C,0,,
DRL3A 11-12-21,DR,3,C,0,,
DRL3A_March_22,DR,3,C,0,,
DRL4_August_22,DR,4,C,0,,
DRL4A 11-12-21,DR,4,C,0,,
DRL4A_March_22,DR,4,C,0,,
DRL5_August_22,DR,5,C,0,,
DRL5A 11-12-21,DR,5,C,0,,
DRL6_August_22,DR,6,C,0,,
DRL6A 11-12-21,DR,6,C,0,,
DRL6A_March_22,DR,6,C,0,,
DRL7_August_22,DR,7,C,0,,
DRL7A 11-12-21,DR,7,C,0,,
DRL7A_March_22,DR,7,C,0,,
DRL8_August_22,DR,8,C,0,,
DRL8A 11-12-21,DR,8,C,0,,
DRL8A_March_22,DR,8,C,0,,
DRL9_August_22,DR,9,C,0,,
DRL9A 11-12-21,DR,9,C,0,,
DRL9A_March_22,DR,9,C,0,,
DSC04546,DR,12,C,0,0,clear
DSC04547,DR,12,N,2.5,0,clear
DSC04548,DR,12,N,5,0,clear
DSC04549,DR,12,E,2.5,0,clear
DSC04550,DR,12,E,5,0,clear
DSC04551,DR,12,S,2.5,0,clear
DSC04552,DR,12,S,5,0,clear
DSC04553,DR,12,W,2.5,1,clear
DSC04554,DR,12,W,5,0,clear
DSC04566,DR,13,C,0,0,clear
DSC04567,DR,13,N,2.5,0,clear
DSC04568,DR,13,N,5,0,clear
DSC04569,DR,13,E,2.5,0,clear
DSC04570,DR,13,E,5,0,clear
DSC04571,DR,13,S,2.5,0,clear
DSC04572,DR,13,S,5,0,clear
DSC04573,DR,13,W,2.5,0,clear
DSC04574,DR,13,W,5,0,clear
DSC04575,blank,blank,blank,blank,0,clear
DSC04576,DR,14,C,0,0,clear
DSC04577,DR,14,N,2.5,1,clear
DSC04578,DR,14,N,5,0,clear
DSC04579,DR,14,E,2.5,0,clear
DSC04580,DR,14,E,5,0,clear
DSC04581,DR,14,S,2.5,0,clear
DSC04582,DR,14,S,5,0,clear
DSC04583,DR,14,W,2.5,0,clear
DSC04584,DR,14,W,5,0,clear
DSC04585,blank,blank,blank,blank,0,clear
DSC04586,DR,15,C,0,0,clear
DSC04587,DR,15,N,2.5,0,clear
DSC04588,DR,15,N,5,0,clear
DSC04589,DR,15,E,2.5,0,clear
DSC04590,DR,15,E,5,0,clear
DSC04591,DR,15,S,2.5,0,clear
DSC04592,DR,15,S,5,0,clear
DSC04593,DR,15,W,2.5,0,clear
DSC04594,DR,15,W,5,0,clear
DSC04595,blank,blank,blank,blank,0,clear
DSC04596,DR,11,C,0,0,clear
DSC04597,DR,11,N,2.5,0,clear
DSC04598,DR,11,N,5,0,clear
DSC04599,DR,11,E,2.5,0,clear
DSC04600,DR,11,E,5,0,clear
DSC04601,DR,11,S,2.5,0,clear
DSC04602,DR,11,S,5,0,clear
DSC04603,DR,11,W,2.5,0,clear
DSC04604,DR,11,W,5,1,clear
DSC04605,blank,blank,blank,blank,0,clear
DSC04606,DR,10,C,0,0,clear
DSC04607,DR,10,N,2.5,0,clear
DSC04608,DR,10,N,5,1,clear
DSC04609,DR,10,E,2.5,0,clear
DSC04610,DR,10,E,5,0,clear
DSC04611,DR,10,S,2.5,0,clear
DSC04612,DR,10,S,5,0,clear
DSC04613,DR,10,W,2.5,0,clear
DSC04614,DR,10,W,5,0,clear
DSC04615,blank,blank,blank,blank,0,clear
DSC04616,DR,9,C,0,0,clear
DSC04617,DR,9,N,2.5,1,clear
DSC04618,DR,9,N,5,1,clear
DSC04619,DR,9,E,2.5,1,clear
DSC04620,DR,9,E,5,,clear
DSC04621,DR,9,S,2.5,,clear
DSC04622,DR,9,S,5,,clear
DSC04623,DR,9,W,2.5,,clear
DSC04624,DR,9,W,5,,clear
DSC04625,blank,blank,blank,blank,,clear
DSC04626,DR,1,C,0,,clear
DSC04627,DR,1,N,2.5,,clear
DSC04628,DR,1,N,5,,clear
DSC04629,DR,1,E,2.5,,clear
DSC04630,DR,1,E,5,,clear
DSC04631,DR,1,S,2.5,,clear
DSC04632,DR,1,S,5,,clear
DSC04633,DR,1,W,2.5,,clear
DSC04634,DR,1,W,5,,clear
DSC04635,blank,blank,blank,blank,,clear
DSC04636,DR,2,C,0,,clear
DSC04637,DR,2,N,2.5,,clear
DSC04638,DR,2,N,5,,clear
DSC04639,DR,2,E,2.5,,clear
DSC04640,DR,2,E,5,,clear
DSC04641,DR,2,S,2.5,,clear
DSC04642,DR,2,S,5,,clear
DSC04643,DR,2,W,2.5,,clear
DSC04644,DR,2,W,5,,clear
DSC04645,DR,3,C,0,,clear
DSC04646,blank,blank,blank,blank,,clear
DSC04647,DR,3,N,2.5,,clear
DSC04648,DR,3,N,5,,clear
DSC04649,DR,3,E,2.5,,clear
DSC04650,DR,3,E,5,,clear
DSC04651,DR,3,S,2.5,,clear
DSC04652,DR,3,S,5,,clear
DSC04653,DR,3,W,2.5,,clear
DSC04654,DR,3,W,5,,clear
DSC04655,blank,blank,blank,blank,,clear
DSC04656,DR,5,C,0,,clear
DSC04657,DR,5,N,2.5,,clear
DSC04658,DR,5,N,5,,clear
DSC04659,DR,5,E,2.5,,clear
DSC04660,DR,5,E,5,,clear
DSC04661,DR,5,S,2.5,,clear
DSC04662,DR,5,S,5,,clear
DSC04663,DR,5,W,2.5,,clear
DSC04664,DR,5,W,5,,clear
DSC04665,blank,blank,blank,blank,,clear
DSC04666,DR,4,C,0,,clear
DSC04667,DR,4,N,2.5,,clear
DSC04668,DR,4,N,5,,clear
DSC04669,DR,4,E,2.5,,clear
DSC04670,DR,4,E,5,,clear
DSC04671,DR,4,S,2.5,,clear
DSC04672,DR,4,S,5,,clear
DSC04673,DR,4,W,2.5,,clear
DSC04674,DR,4,W,5,,clear
DSC04675,blank,blank,blank,blank,,clear
DSC04676,DR,8,C,0,,clear
DSC04677,DR,8,N,2.5,,clear
DSC04678,DR,8,N,5,,clear
DSC04679,DR,8,E,2.5,,clear
DSC04680,DR,8,E,5,,clear
DSC04681,DR,8,S,2.5,,clear
DSC04682,DR,8,S,5,,clear
DSC04683,DR,8,W,2.5,,clear
DSC04684,DR,8,W,5,,clear
DSC04685,blank,blank,blank,blank,,clear
DSC04686,blank,blank,blank,blank,,clear
DSC04687,DR,7,C,0,,clear
DSC04688,DR,7,N,2.5,,clear
DSC04689,DR,7,N,5,,clear
DSC04690,DR,7,E,2.5,,clear
DSC04691,DR,7,E,5,,clear
DSC04692,DR,7,S,2.5,,clear
DSC04693,DR,7,S,5,,clear
DSC04694,DR,7,W,2.5,,clear
DSC04695,DR,7,W,5,,clear
DSC04696,blank,blank,blank,blank,,clear
DSC04697,DR,6,C,0,,clear
DSC04698,DR,6,N,2.5,,clear
DSC04699,DR,6,N,5,,clear
DSC04700,DR,6,E,2.5,,clear
DSC04701,DR,6,E,5,,clear
DSC04702,DR,6,S,2.5,,clear
DSC04703,DR,6,S,5,,clear
DSC04704,DR,6,W,2.5,,clear
DSC04705,DR,6,W,5,,clear
DSC04706,FRW,12,C,0,,clear
DSC04707,FRW,12,N,2.5,,clear
DSC04710,FRW,12,N,5,,clear
DSC04711,FRW,12,E,2.5,,clear
DSC04712,FRW,12,E,5,,clear
DSC04713,FRW,12,S,2.5,,clear
DSC04714,FRW,12,S,5,,clear
DSC04715,FRW,12,W,2.5,,clear
DSC04716,FRW,12,W,5,,clear
DSC04717,FRW,11,C,0,,clear
DSC04718,FRW,11,N,2.5,,clear
DSC04719,FRW,11,N,5,,clear
DSC04720,blank,blank,blank,blank,,clear
DSC04721,FRW,11,E,2.5,,clear
DSC04722,FRW,11,E,5,,clear
DSC04723,FRW,11,S,2.5,,clear
DSC04724,FRW,11,S,5,,clear
DSC04725,FRW,11,W,2.5,,clear
DSC04726,FRW,11,W,5,,clear
DSC04727,FRW,10,C,0,,clear
DSC04728,FRW,10,N,2.5,,clear
DSC04729,FRW,10,N,5,,clear
DSC04730,FRW,10,E,2.5,,clear
DSC04731,FRW,10,E,5,,clear
DSC04732,FRW,10,S,2.5,,clear
DSC04733,FRW,10,S,5,,clear
DSC04734,FRW,10,W,2.5,,clear
DSC04735,FRW,10,W,5,,clear
DSC04736,FRW,5,C,0,,clear
DSC04737,FRW,5,N,2.5,,clear
DSC04738,FRW,5,N,5,,clear
DSC04739,FRW,5,E,2.5,,clear
DSC04740,FRW,5,E,5,,clear
DSC04741,FRW,5,S,2.5,,clear
DSC04742,FRW,5,S,5,,clear
DSC04743,FRW,5,W,2.5,,clear
DSC04744,FRW,5,W,5,,clear
DSC04745,blank,blank,blank,blank,,clear
DSC04746,FRW,8,C,0,,clear
DSC04747,FRW,8,N,2.5,,clear
DSC04748,FRW,8,N,5,,clear
DSC04749,FRW,8,E,2.5,,clear
DSC04750,FRW,8,E,5,,clear
DSC04751,FRW,8,S,2.5,,clear
DSC04752,FRW,8,S,5,,clear
DSC04753,FRW,8,W,2.5,,clear
DSC04754,FRW,8,W,5,,clear
DSC04755,blank,blank,blank,blank,,clear
DSC04756,FRW,9,C,0,,clear
DSC04757,FRW,9,N,2.5,,clear
DSC04758,FRW,9,N,5,,clear
DSC04759,FRW,9,E,2.5,,clear
DSC04760,FRW,9,E,5,,clear
DSC04761,FRW,9,S,2.5,,clear
DSC04762,FRW,9,S,5,,clear
DSC04763,FRW,9,W,2.5,,clear
DSC04764,FRW,9,W,5,,clear
DSC04765,blank,blank,blank,blank,,clear
DSC04766,FRW,6,C,0,,clear
DSC04767,FRW,6,N,2.5,,clear
DSC04768,FRW,6,N,5,,clear
DSC04769,FRW,6,E,2.5,,clear
DSC04770,FRW,6,E,5,,clear
DSC04771,FRW,6,S,2.5,,clear
DSC04772,FRW,6,S,5,,clear
DSC04773,FRW,6,W,2.5,,clear
DSC04774,FRW,6,W,5,,clear
DSC04775,MCK2,3,C,0,,clear
DSC04776,MCK2,3,N,2.5,,clear
DSC04777,MCK2,3,N,5,,clear
DSC04778,MCK2,3,E,2.5,,clear
DSC04779,MCK2,3,E,5,,clear
DSC04780,MCK2,3,S,2.5,,clear
DSC04781,MCK2,3,S,5,,clear
DSC04782,MCK2,3,W,2.5,,clear
DSC04783,MCK2,3,W,5,,clear
DSC04784,blank,blank,blank,blank,,clear
DSC04785,MCK2,6,C,0,,clear
DSC04786,MCK2,6,N,2.5,,clear
DSC04787,MCK2,6,N,5,,clear
DSC04788,MCK2,6,E,2.5,,clear
DSC04789,MCK2,6,E,5,,clear
DSC04790,MCK2,6,S,2.5,,clear
DSC04791,MCK2,6,S,5,,clear
DSC04792,MCK2,6,W,2.5,,clear
DSC04793,MCK2,6,W,5,,clear
DSC04794,MCK2,5,C,0,,clear
DSC04795,blank,blank,blank,blank,,clear
DSC04796,MCK2,5,N,2.5,,clear
DSC04797,MCK2,5,N,5,,clear
DSC04798,MCK2,5,E,2.5,,clear
DSC04799,MCK2,5,E,5,,clear
DSC04800,MCK2,5,S,2.5,,clear
DSC04801,MCK2,5,S,5,,clear
DSC04802,MCK2,5,W,2.5,,clear
DSC04803,MCK2,5,W,5,,clear
DSC04804,blank,blank,blank,blank,,clear
DSC04805,MCK2,4,C,0,,clear
DSC04806,MCK2,4,N,2.5,,clear
DSC04807,MCK2,4,N,5,,clear
DSC04808,MCK2,4,E,2.5,,clear
DSC04809,MCK2,4,E,5,,clear
DSC04810,MCK2,4,S,2.5,,clear
DSC04811,MCK2,4,S,5,,clear
DSC04812,MCK2,4,W,2.5,,clear
DSC04813,MCK2,4,W,5,,clear
DSC04814,blank,blank,blank,blank,,clear
DSC04815,MCK2,1,C,0,,clear
DSC04816,MCK2,1,N,2.5,,clear
DSC04817,MCK2,1,N,5,,clear
DSC04818,MCK2,1,E,2.5,,clear
DSC04819,MCK2,1,E,5,,clear
DSC04820,MCK2,1,S,2.5,,clear
DSC04821,MCK2,1,S,5,,clear
DSC04822,blank,blank,blank,blank,,clear
DSC04823,MCK2,1,W,2.5,,clear
DSC04824,MCK2,1,W,5,,clear
DSC04825,blank,blank,blank,blank,,clear
DSC04826,blank,blank,blank,blank,,clear
DSC04827,MCK2,2,C,0,,clear
DSC04828,MCK2,2,N,2.5,,clear
DSC04829,MCK2,2,N,5,,clear
DSC04830,MCK2,2,E,2.5,,clear
DSC04831,MCK2,2,E,5,,clear
DSC04832,MCK2,2,S,2.5,,clear
DSC04833,MCK2,2,S,5,,clear
DSC04834,MCK2,2,W,2.5,,clear
DSC04835,MCK2,2,W,5,,clear
DSC04836,blank,blank,blank,blank,,clear
DSC04837,JD,1,C,0,,clear
DSC04838,JD,1,N,2.5,,clear
DSC04839,JD,1,N,5,,clear
DSC04840,JD,1,E,2.5,,clear
DSC04841,JD,1,E,5,,clear
DSC04842,JD,1,S,2.5,,clear
DSC04843,JD,1,S,5,,clear
DSC04844,JD,1,W,2.5,,clear
DSC04845,JD,1,W,5,,clear
DSC04846,blank,blank,blank,blank,,clear
DSC04847,JD,2,C,0,,clear
DSC04848,JD,2,N,2.5,,clear
DSC04849,JD,2,N,5,,clear
DSC04850,JD,2,E,2.5,,clear
DSC04851,JD,2,E,5,,clear
DSC04852,JD,2,S,2.5,,clear
DSC04853,JD,2,S,5,,clear
DSC04854,JD,2,W,2.5,,clear
DSC04855,JD,2,W,5,,clear
DSC04856,blank,blank,blank,blank,,clear
DSC04857,JD,3,C,0,,clear
DSC04858,JD,3,N,2.5,,clear
DSC04859,JD,3,N,5,,clear
DSC04860,JD,3,E,2.5,,clear
DSC04861,JD,3,E,5,,clear
DSC04862,JD,3,S,2.5,,clear
DSC04863,JD,3,S,5,,clear
DSC04864,JD,3,W,2.5,,clear
DSC04865,JD,3,W,5,,clear
DSC04866,blank,blank,blank,blank,,clear
DSC04867,JD,4,C,0,,clear
DSC04868,JD,4,N,2.5,,clear
DSC04869,JD,4,N,5,,clear
DSC04870,JD,4,E,2.5,,clear
DSC04871,JD,4,E,5,,clear
DSC04872,JD,4,S,2.5,,clear
DSC04873,JD,4,S,5,,clear
DSC04874,JD,4,W,2.5,,clear
DSC04875,JD,4,W,5,,clear
DSC04876,PMCU,1,C,0,,clear
DSC04877,blank,blank,blank,blank,,clear
DSC04878,PMCU,1,N,2.5,,clear
DSC04879,PMCU,1,N,5,,clear
DSC04880,PMCU,1,E,2.5,,clear
DSC04881,PMCU,1,E,5,,clear
DSC04882,PMCU,1,S,2.5,,clear
DSC04883,PMCU,1,S,5,,clear
DSC04884,PMCU,1,W,2.5,,clear
DSC04885,PMCU,1,W,5,,clear
DSC04886,blank,blank,blank,blank,,clear
DSC04887,PMCU,2,C,0,,clear
DSC04888,PMCU,2,N,2.5,,clear
DSC04889,PMCU,2,N,5,,clear
DSC04890,PMCU,2,E,2.5,,clear
DSC04891,PMCU,2,E,5,,clear
DSC04892,PMCU,2,S,2.5,,clear
DSC04893,PMCU,2,S,5,,clear
DSC04894,PMCU,2,W,2.5,,clear
DSC04895,PMCU,2,W,5,,clear
DSC04896,blank,blank,blank,blank,,clear
DSC04897,PMCU,3,C,0,,clear
DSC04898,PMCU,3,N,2.5,,clear
DSC04899,PMCU,3,N,5,,clear
DSC04900,PMCU,3,E,2.5,,clear
DSC04901,PMCU,3,E,5,,clear
DSC04902,PMCU,3,S,2.5,,clear
DSC04903,PMCU,3,S,5,,clear
DSC04904,PMCU,3,W,2.5,,clear
DSC04905,PMCU,3,W,5,,clear
DSC04906,blank,blank,blank,blank,,clear
DSC04907,PMCU,4,C,0,,clear
DSC04908,PMCU,4,N,2.5,,clear
DSC04909,PMCU,4,N,5,,clear
DSC04910,PMCU,4,E,2.5,,clear
DSC04911,PMCU,4,E,5,,clear
DSC04912,PMCU,4,S,2.5,,clear
DSC04913,PMCU,4,S,5,,clear
DSC04914,PMCU,4,W,2.5,,clear
DSC04915,PMCU,4,W,5,,clear
DSC04916,blank,blank,blank,blank,,clear
DSC04917,PMCU,5,C,0,,clear
DSC04918,PMCU,5,N,2.5,,clear
DSC04919,PMCU,5,N,5,,clear
DSC04920,PMCU,5,E,2.5,,clear
DSC04921,PMCU,5,E,5,,clear
DSC04922,PMCU,5,S,2.5,,clear
DSC04923,PMCU,5,S,5,,clear
DSC04924,PMCU,5,W,2.5,,clear
DSC04925,PMCU,5,W,5,,clear
DSC04926,WWSC,1,C,0,,clear
DSC04927,WWSC,1,N,2.5,,clear
DSC04928,WWSC,1,N,5,,clear
DSC04929,WWSC,1,E,2.5,,clear
DSC04930,WWSC,1,E,5,,clear
DSC04931,WWSC,1,S,2.5,,clear
DSC04932,WWSC,1,S,5,,clear
DSC04933,WWSC,1,W,2.5,,clear
DSC04934,WWSC,1,W,5,,clear
DSC04935,blank,blank,blank,blank,,clear
DSC04936,WWSC,5,C,0,,clear
DSC04937,WWSC,5,N,2.5,,clear
DSC04938,WWSC,5,N,5,,clear
DSC04939,WWSC,5,E,2.5,,clear
DSC04940,WWSC,5,E,5,,clear
DSC04941,WWSC,5,S,2.5,,clear
DSC04942,WWSC,5,S,5,,clear
DSC04943,WWSC,5,W,2.5,,clear
DSC04944,WWSC,5,W,5,,clear
DSC04945,blank,blank,blank,blank,,clear
DSC04946,WWSC,2,C,0,,clear
DSC04947,WWSC,2,N,2.5,,clear
DSC04948,WWSC,2,N,5,,clear
DSC04949,WWSC,2,E,2.5,,clear
DSC04950,WWSC,2,E,5,,clear
DSC04951,WWSC,2,S,2.5,,clear
DSC04952,WWSC,2,S,5,,clear
DSC04953,WWSC,2,W,2.5,,clear
DSC04954,WWSC,2,W,5,,clear
DSC04955,WWSC,3,C,0,,clear
DSC04956,WWSC,3,N,2.5,,clear
DSC04957,WWSC,3,N,5,,clear
DSC04958,WWSC,3,E,2.5,,clear
DSC04959,WWSC,3,E,5,,clear
DSC04960,WWSC,3,S,2.5,,clear
DSC04961,WWSC,3,S,5,,clear
DSC04962,WWSC,3,W,2.5,,clear
DSC04963,WWSC,3,W,5,,clear
DSC04964,blank,blank,blank,blank,,clear
DSC04965,WWSC,4,C,0,,clear
DSC04966,WWSC,4,N,2.5,,clear
DSC04967,WWSC,4,N,5,,clear
DSC04968,WWSC,4,E,2.5,,clear
DSC04969,WWSC,4,E,5,,clear
DSC04970,WWSC,4,S,2.5,,clear
DSC04971,WWSC,4,S,5,,clear
DSC04972,WWSC,4,W,2.5,,clear
DSC04973,WWSC,4,W,5,,clear
DSC04974,blank,blank,blank,blank,,clear
DSC04975,WWT1,1,C,0,,clear
DSC04976,WWT1,1,N,2.5,,clear
DSC04977,WWT1,1,N,5,,clear
DSC04978,WWT1,1,E,2.5,,clear
DSC04979,WWT1,1,E,5,,clear
DSC04980,WWT1,1,S,2.5,,clear
DSC04981,WWT1,1,S,5,,clear
DSC04982,WWT1,1,W,2.5,,clear
DSC04983,WWT1,1,W,5,,clear
DSC04984,blank,blank,blank,blank,,clear
DSC04985,WWT1,2,C,0,,clear
DSC04986,WWT1,2,N,2.5,,clear
DSC04987,WWT1,2,N,5,,clear
DSC04988,WWT1,2,E,2.5,,clear
DSC04989,WWT1,2,E,5,,clear
DSC04990,WWT1,2,S,2.5,,clear
DSC04991,WWT1,2,S,5,,clear
DSC04992,WWT1,2,W,2.5,,clear
DSC04993,WWT1,2,W,5,,clear
DSC04994,blank,blank,blank,blank,,clear
DSC04995,WWT1,3,C,0,,clear
DSC04996,WWT1,3,N,2.5,,clear
DSC04997,WWT1,3,N,5,,clear
DSC04998,WWT1,3,E,2.5,,clear
DSC04999,WWT1,3,E,5,,clear
DSC05000,WWT1,3,S,2.5,,clear
DSC05001,WWT1,3,S,5,,clear
DSC05002,WWT1,3,W,2.5,,clear
DSC05003,WWT1,3,W,5,,clear
DSC05004,blank,blank,blank,blank,,clear
DSC05005,WWT1,4,C,0,,clear
DSC05006,WWT1,4,N,2.5,,clear
DSC05007,WWT1,4,N,5,,clear
DSC05008,WWT1,4,E,2.5,,clear
DSC05009,WWT1,4,E,5,,clear
DSC05010,WWT1,4,S,2.5,,clear
DSC05011,WWT1,4,S,5,,clear
DSC05012,WWT1,4,W,2.5,,clear
DSC05013,WWT1,4,W,5,,clear
DSC05014,blank,blank,blank,blank,,clear
DSC05015,WWT1,6,C,0,,clear
DSC05016,WWT1,6,N,2.5,,clear
DSC05017,WWT1,6,N,5,,clear
DSC05018,WWT1,6,E,2.5,,clear
DSC05019,WWT1,6,E,5,,clear
DSC05020,WWT1,6,S,2.5,,clear
DSC05021,WWT1,6,S,5,,clear
DSC05022,WWT1,6,W,2.5,,clear
DSC05023,WWT1,6,W,5,,clear
DSC05024,WWT1,5,C,0,,clear
